node_id,head,u,v_x,v_y,v_mag,q,phi
128,12.435649093128212,71876.52359489031,2.713010972939636,-0.1614357917172736,2.717809789911401,5.684341886080802e-14,25.994663783735074
129,12.570078083761944,81031.86030718221,2.6614395700338074,-0.132934291320121,2.6647574206202185,-8.881784197001252e-15,28.130755752786058
130,12.32654354005777,86968.45461809139,2.6324351602455294,-0.09059444472914617,2.6339935888898225,-2.1316282072803006e-14,30.14562720740662
131,12.684066697059253,99009.41073961485,2.5734721991602787,-0.07193285165665214,2.574477324623058,5.684341886080802e-14,32.46718313069616
132,12.875801302378358,109369.40810771966,2.5315253445345207,-0.051313950302475576,2.5320453573181245,1.4210854715202004e-14,34.629529191863064
133,13.035095879548003,119398.85469524744,2.5024819180120086,-0.027453228885780306,2.502632499939477,-2.842170943040401e-14,36.72180081845595
134,13.289305882168293,130368.09070407096,2.4812196194734484,-0.01546772334793941,2.481267831276086,3.552713678800501e-15,38.76552944111329
135,6.409172673931937,62873.9839312723,6.070103358875716,-0.16936933499992857,6.072465789040937,-2.842170943040401e-14,38.76552944111321
136,6.556099846651684,43099.0767344231,5.863375668682274,-0.300866189034663,5.8710897366502195,0.0,26.22675711914394
137,6.747709986664975,20794.36718677813,5.424737851465683,-0.4661178422618857,5.444726494508186,5.1514348342607263e-14,12.772938272618488
138,7.004588377626662,6730.300525189971,3.776081676469975,-0.4416413147837332,3.8018206004881665,3.0468612521872274e-08,0.040166901635061654
139,7.256196618349602,-14036.381617688494,0.0058529497055297705,-0.0028118151251942483,0.006493329234971239,5.1087578611941353e-11,0.021334470294023418
140,7.665412559101742,-32164.33659727493,0.006129032328075277,-0.0034513205449409738,0.007033964087378006,-6.938893903907228e-17,0.007365508228350614
141,8.17855772816563,-36510.534475915534,0.006638774175899899,-0.004274535227862629,0.007895883356080814,9.71445146547012e-17,0.006764744375251777
142,8.799578701840831,-39867.994205726434,0.008292065493740385,-0.005277181172239149,0.009828885556212124,-1.5265566588595902e-16,0.007431139068540761
143,9.537612401821002,-42070.850096996764,0.01001861278447702,-0.005904019675835959,0.011628845620178494,3.885780586188048e-16,0.009395018292872367
144,9.483950581452188,-29475.381389162896,0.0094758209224596,-0.007255173481270335,0.011934350606457454,-2.8449465006019636e-16,0.02797633169931684
145,10.313341194869798,-30338.24141902501,0.011308854431504175,-0.007588199717221271,0.013618772466760305,2.220446049250313e-16,0.033901264038556915
146,10.083731517048504,-20043.318845831054,0.010669511211158953,-0.009097310286179678,0.01402139522045068,0.0,0.05713108689392607
147,9.827689694385938,-12856.610276706311,0.008818589279477346,-0.010646842142997845,0.013824715711291416,-2.498001805406602e-16,0.08145731655534867
148,10.290915931695638,-10240.854985802209,0.010087430677192971,-0.012848886909803117,0.01633554873544454,3.1958130586318134e-11,0.10955008412527484
149,10.123357331198855,-6489.47699571967,0.009610576242407418,-0.013091960612120637,0.016240769944200432,8.292318172431479e-05,0.14699190677893834
150,9.61028392358919,-1854.200900256834,5.219529851133504,-4.734020365525283,7.046590713819121,-4.046525864027672,0.1807602409835336
